Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0031,04/17/2022,04/18/2022,Amazon.com*1A9J70SH0,Merchandise & Inventory,Sale,-17.63,
0031,04/16/2022,04/17/2022,HONG NOODLE,Food & Drink,Sale,-31.69,
0031,04/16/2022,04/17/2022,CONOCO - LAKESIDE,Gas,Sale,-58.09,
0031,04/15/2022,04/17/2022,AMZN Mktp US*1O7NC1A51,Merchandise & Inventory,Sale,-42.39,
0031,04/15/2022,04/17/2022,SAFEWAY #3265,Food & Drink,Sale,-20.33,
0031,04/13/2022,04/15/2022,ARCO#83231EMANUEL II LLC,Gas,Sale,-43.47,
0031,04/12/2022,04/12/2022,AMZN Mktp US*1A8FG1ZU0,Merchandise & Inventory,Sale,-22.01,
0031,04/11/2022,04/12/2022,UWAJIMAYA BELLEVUE,Food & Drink,Sale,-7.56,
0031,04/09/2022,04/11/2022,TOP GUN SEAFOOD RESTAURAN,Food & Drink,Sale,-30.26,
0031,04/09/2022,04/11/2022,SAFEWAY #1444,Food & Drink,Sale,-31.75,
0031,04/10/2022,04/11/2022,SQ *TAPIOCA EXPRESS- REDM,Food & Drink,Sale,-25.94,
0031,04/11/2022,04/11/2022,AMZN Mktp US*1A2H30CG0,Merchandise & Inventory,Sale,-13.53,
0031,04/09/2022,04/10/2022,SQ *TOFU 101,Food & Drink,Sale,-41.20,
0031,04/08/2022,04/10/2022,ARCO#83231EMANUEL II LLC,Gas,Sale,-61.85,
0031,04/09/2022,04/10/2022,SQ *TAPIOCA EXPRESS- REDM,Food & Drink,Sale,-30.25,
0031,04/05/2022,04/07/2022,ARCO#83231EMANUEL II LLC,Gas,Sale,-70.00,
0031,04/05/2022,04/07/2022,McDonald's 10651,Food & Drink,Sale,-2.74,
0031,04/06/2022,04/07/2022,SQ *TOFU 101,Food & Drink,Sale,-6.25,
0031,04/06/2022,04/06/2022,Amazon.com*1H42V7442,Merchandise & Inventory,Sale,-31.35,
0031,04/05/2022,04/06/2022,AMZN Mktp US*1H93M4PB0,Merchandise & Inventory,Sale,-5.49,
0031,04/04/2022,04/05/2022,RLI INSURANCE COMPANY,Bills & Utilities,Sale,-305.00,
0031,04/03/2022,04/04/2022,JING JING ASIAN MARKET,Food & Drink,Sale,-85.43,
0031,04/03/2022,04/04/2022,AMZN Mktp US*1H5VG8NH0,Merchandise & Inventory,Sale,-27.51,
0031,04/03/2022,04/04/2022,McDonald's 10651,Food & Drink,Sale,-0.44,
0031,04/02/2022,04/03/2022,SQ *TAPIOCA EXPRESS- REDM,Food & Drink,Sale,-36.52,
0031,04/01/2022,04/03/2022,ARCO#83231EMANUEL II LLC,Gas,Sale,-35.10,
0031,04/01/2022,04/03/2022,Amazon.com*164DT5RB0,Merchandise & Inventory,Sale,-83.66,
0031,04/01/2022,04/03/2022,SAFEWAY #1444,Food & Drink,Sale,-46.07,
0031,04/01/2022,04/03/2022,RITE AID 05179,Health & Wellness,Sale,-14.40,
0031,04/02/2022,04/03/2022,CAFE ORI,Food & Drink,Sale,-17.23,
0031,04/01/2022,04/03/2022,CAFE ORI,Food & Drink,Sale,-37.21,
0031,03/31/2022,04/01/2022,McDonald's 10651,Food & Drink,Sale,-3.30,
0031,03/31/2022,04/01/2022,PAYPAL *SAMSUNGELEC,Bills & Utilities,Return,50.00,
